customer_id,economic_centre,latitude,longitude,annual_demand
C0097,Cape Town,-33.96373,18.76581,258
C0098,Johannesburg,-25.9297,27.30394,472
C0099,Cape Town,-34.59435,18.55097,964
C0100,Johannesburg,-25.86442,27.58522,2187
C0101,Polokwane,-23.93026,29.37012,805
C0102,Pretoria,-26.13197,28.18921,1487
C0103,Durban,-29.89672,31.00238,787
C0104,Kimberley,-28.62238,24.75174,685
C0105,Gqeberha,-34.07036,25.04251,273
C0106,Cape Town,-33.73748,17.88716,1526
C0107,Johannesburg,-26.11928,28.76389,716
C0108,Bloemfontein,-28.54226,26.92536,2081
C0109,Bloemfontein,-29.44233,26.10992,1750
C0110,Johannesburg,-25.89686,28.41775,212
C0111,Durban,-29.54858,30.97382,757
C0112,Gqeberha,-34.7206,26.17222,271
C0113,Bloemfontein,-29.09035,26.48284,553
C0114,Kimberley,-29.31084,24.0263,627
C0115,Cape Town,-33.96792,18.39774,325
C0116,Pretoria,-25.57721,28.20736,1237
C0117,Cape Town,-34.08124,18.25762,391
C0118,Johannesburg,-26.39976,28.00984,339
C0119,Johannesburg,-26.18398,27.24832,622
C0120,Gqeberha,-33.94605,25.3573,764
C0121,Bloemfontein,-28.78723,25.98697,412
C0122,Johannesburg,-26.00127,27.95103,148
C0123,Cape Town,-34.14418,17.65685,1156
C0124,Polokwane,-24.25028,30.54651,1377
C0125,Johannesburg,-25.67077,27.18744,392
C0126,Pretoria,-26.06449,28.003,329
C0127,Johannesburg,-26.12772,28.366,1320
C0128,Durban,-29.62993,31.04888,379
C0129,Cape Town,-34.07908,18.97781,516
C0130,Pretoria,-25.98184,28.55346,2301
C0131,Pretoria,-25.73821,28.27388,525
C0132,Johannesburg,-26.28757,27.81958,484
C0133,Johannesburg,-26.4941,27.85649,130
C0134,Kimberley,-28.48858,24.66627,368
C0135,Mbombela,-25.39224,30.78755,415
C0136,Cape Town,-34.1113,18.45887,1083
C0137,Cape Town,-33.59835,18.15749,460
C0138,Durban,-30.20942,30.45216,686
C0139,Johannesburg,-26.7376,28.32651,317
C0140,Durban,-29.76499,30.79366,685
C0141,Pretoria,-25.95859,28.49539,1365
C0142,Cape Town,-33.65483,17.55902,396
C0143,Pretoria,-25.68849,28.26059,913
C0144,East London,-32.46225,28.02976,508
C0145,Johannesburg,-26.31557,27.93563,946
C0146,Durban,-29.49648,31.32669,538
C0147,Durban,-29.94624,31.47717,428
C0148,Pretoria,-26.52852,28.23575,1977
C0149,Johannesburg,-26.28781,28.33539,1188
C0150,Cape Town,-33.89143,17.90659,1398
C0151,Johannesburg,-26.02582,28.48386,1246
C0152,Gqeberha,-33.93208,25.44142,382
C0153,Johannesburg,-25.67568,28.18801,530
C0154,East London,-32.7251,27.81714,352
C0155,Gqeberha,-34.11039,25.40877,1244
C0156,Cape Town,-33.58415,18.5688,2252
C0157,Johannesburg,-26.57453,27.86778,743
C0158,Durban,-29.56625,31.25083,641
C0159,Johannesburg,-26.14091,28.97255,582
C0160,Bloemfontein,-29.06878,26.24239,1066
C0161,Cape Town,-33.849,18.57884,782
C0162,Cape Town,-34.32381,18.98172,477
C0163,Polokwane,-23.93608,29.74228,3463
C0164,Durban,-29.67532,30.9665,503
C0165,East London,-32.71701,27.09934,572
C0166,Pretoria,-25.52805,28.11178,1968
C0167,Johannesburg,-26.598,27.99514,662
C0168,Durban,-30.3204,30.94097,1045
C0169,Cape Town,-34.28092,18.60493,395
C0170,Kimberley,-28.78579,25.65058,691
C0171,Johannesburg,-26.47799,28.2833,617
C0172,Johannesburg,-26.14984,28.03584,467
C0173,Cape Town,-33.4389,17.49333,172
C0174,Cape Town,-34.35912,18.30416,522
C0175,Bloemfontein,-29.13766,26.38882,1143
C0176,Durban,-30.32299,31.34929,1520
C0177,Johannesburg,-26.45066,27.79239,709
C0178,Johannesburg,-26.24972,27.61956,1057
C0179,Johannesburg,-25.91925,27.71816,774
C0180,Durban,-29.77024,30.64343,992
C0181,Pretoria,-26.33232,28.84694,296
C0182,Pretoria,-26.03361,27.68448,986
C0183,Cape Town,-33.48856,17.66464,212
C0184,Mbombela,-25.66602,30.50108,862
C0185,Bloemfontein,-28.74506,26.19326,534
C0186,Johannesburg,-25.73298,28.15503,218
C0187,Cape Town,-34.1429,18.27775,287
C0188,Pretoria,-25.71261,28.29785,352
C0189,Pretoria,-25.04595,28.48046,490
C0190,Johannesburg,-26.01967,28.13691,1259
C0191,Cape Town,-34.27622,18.6027,600
C0192,Pretoria,-25.46559,28.01061,676
C0193,Johannesburg,-26.3259,28.1168,261
C0194,Pretoria,-25.54454,27.90617,276
C0195,Cape Town,-33.72401,17.81035,2573
C0196,Polokwane,-24.01109,29.16847,1048
C0197,Johannesburg,-25.99145,27.51559,662
C0198,Cape Town,-34.15547,18.82635,421
C0199,Johannesburg,-26.14115,27.9301,2401
C0200,Durban,-29.87524,31.26951,461
C0201,Gqeberha,-34.34152,25.92752,211
C0202,Johannesburg,-25.80365,28.02125,995
C0203,Johannesburg,-25.8315,28.08916,1130
C0204,Cape Town,-33.70837,18.71597,896
C0205,Johannesburg,-26.73839,28.02703,1132
C0206,Johannesburg,-26.15725,27.66893,1318
C0207,Polokwane,-23.50933,29.44075,491
C0208,East London,-32.70502,27.94524,492
C0209,Johannesburg,-26.56897,28.49457,561
C0210,Pretoria,-25.70066,28.73574,755
C0211,Pretoria,-25.44418,28.32836,276
C0212,Johannesburg,-25.99917,28.0761,1329
C0213,Polokwane,-23.47639,29.2297,477
C0214,Cape Town,-34.79451,18.26817,1710
C0215,Durban,-30.16412,31.29958,547
C0216,Pretoria,-26.02958,27.87785,403
C0217,Johannesburg,-26.88089,27.62471,331
C0218,Mbombela,-25.23638,31.03631,578
C0219,Polokwane,-23.0961,29.23654,1420
C0220,Durban,-29.29131,30.79859,470
C0221,Johannesburg,-26.00972,27.8293,481
C0222,Mbombela,-25.53414,31.18898,458
C0223,Cape Town,-33.80463,18.29231,420
C0224,Durban,-30.10497,31.56343,2137
C0225,Johannesburg,-26.33099,28.25163,946
C0226,Cape Town,-33.54564,18.36217,395
C0227,Pretoria,-25.43846,27.89656,385
C0228,Johannesburg,-26.207,27.86614,769
C0229,Bloemfontein,-30.30348,25.89952,1456
C0230,Pretoria,-25.6278,28.46796,2209
C0231,Pretoria,-25.66389,28.33624,1219
C0232,Bloemfontein,-28.93761,26.49127,924
C0233,Cape Town,-33.57192,18.96019,436
C0234,Bloemfontein,-28.917,26.14561,731
C0235,Pretoria,-25.98924,28.40253,872
C0236,Durban,-29.71856,31.08868,685
C0237,Cape Town,-33.66124,17.95151,1757
C0238,Johannesburg,-26.12933,28.13458,1854
C0239,Mbombela,-25.05216,30.18728,745
C0240,Johannesburg,-26.06112,28.42307,341
C0241,Johannesburg,-26.83759,28.38506,486
C0242,Bloemfontein,-29.04047,26.00848,849
C0243,Gqeberha,-34.00666,24.88987,1070
C0244,Durban,-29.48068,30.515,159
C0245,Johannesburg,-25.97708,28.39286,1379
C0246,Pretoria,-25.28921,28.45687,623
C0247,Durban,-30.28824,31.60285,1192
C0248,Johannesburg,-26.2764,27.60926,1700
C0249,Bloemfontein,-28.90827,26.19398,792
C0250,Gqeberha,-34.04132,25.80162,889
C0251,Gqeberha,-34.29133,25.71534,1498
C0252,Durban,-29.68671,30.78506,2144
C0253,Johannesburg,-26.46339,28.0423,236
C0254,Gqeberha,-33.76315,25.44604,194
C0255,Johannesburg,-26.26466,27.80644,3317
C0256,Pretoria,-25.92145,28.50433,877
C0257,Gqeberha,-33.96926,25.40235,560
C0258,Kimberley,-28.86935,24.74864,313
C0259,Cape Town,-33.74119,19.04767,376
C0260,Pretoria,-25.73472,27.87873,554
C0261,Cape Town,-33.57879,18.64226,482
C0262,Johannesburg,-26.35984,28.53707,1213
C0263,Johannesburg,-25.56991,28.17257,858
C0264,East London,-32.77679,28.27894,469
C0265,Johannesburg,-26.16401,28.37985,584
C0266,Cape Town,-33.46385,19.03169,756
C0267,Johannesburg,-26.56515,27.86205,994
C0268,Durban,-29.46344,31.62644,883
C0269,Johannesburg,-26.59884,28.2448,479
C0270,Johannesburg,-26.13004,27.95722,224
C0271,Bloemfontein,-28.75869,26.50971,197
C0272,Pretoria,-26.06346,28.30786,1313
C0273,Durban,-29.89559,31.64509,230
C0274,Cape Town,-34.12537,18.94089,1631
C0275,Cape Town,-33.78433,18.18414,820
C0276,Durban,-29.96072,31.21206,522
C0277,Durban,-30.64075,31.10412,313
C0278,Durban,-29.74697,30.56866,1414
C0279,Gqeberha,-34.50536,25.50686,170
C0280,East London,-32.92634,27.3668,503
C0281,Cape Town,-34.21834,18.60633,1153
C0282,Durban,-29.43082,31.15548,879
C0283,Cape Town,-34.03106,18.557,537
C0284,Johannesburg,-26.39693,28.30197,687
C0285,Johannesburg,-26.24992,27.68507,587
C0286,Durban,-29.70176,31.34251,833
C0287,Durban,-30.59402,32.05001,377
C0288,Johannesburg,-26.06291,28.43516,338
C0289,Johannesburg,-26.1073,27.81955,1336
C0290,Johannesburg,-26.26149,28.35182,917
C0291,Polokwane,-23.91531,30.17009,1243
C0292,Cape Town,-33.81723,18.81103,1438
C0293,Johannesburg,-26.58546,28.61819,402
C0294,Cape Town,-33.82108,18.40165,823
C0295,Bloemfontein,-28.96599,26.70641,959
C0296,Durban,-29.73426,31.43811,299
C0297,East London,-32.76279,28.13399,1538
C0298,Johannesburg,-26.29559,27.98672,671
C0299,Pretoria,-26.19521,27.65399,374
C0300,Durban,-29.3153,30.79816,281
C0301,Johannesburg,-26.14471,27.80226,1350
C0302,Durban,-29.32181,31.36542,538
C0303,Durban,-30.01769,31.01482,313
C0304,Durban,-30.39518,31.3797,3248
C0305,Cape Town,-33.68691,18.62551,564
C0306,Polokwane,-23.76727,29.20501,554
C0307,Durban,-30.1634,30.6773,1250
C0308,Durban,-30.07481,31.34321,239
C0309,Cape Town,-34.13606,17.86872,609
C0310,Cape Town,-33.98063,18.46098,279
C0311,Cape Town,-33.86873,18.09607,1649
C0312,Cape Town,-33.9512,18.46793,503
C0313,Mbombela,-25.05315,30.82619,553
C0314,Johannesburg,-26.06368,27.55639,2073
C0315,East London,-33.11166,28.17458,1081
C0316,Pretoria,-25.99319,28.12607,1496
C0317,Cape Town,-33.84108,18.15039,2820
C0318,Johannesburg,-26.63734,28.26912,870
C0319,Johannesburg,-25.7755,28.61549,244
C0320,Durban,-29.76499,30.9909,3557
C0321,Kimberley,-28.58311,24.47959,261
C0322,Cape Town,-34.59449,18.62324,1916
C0323,Pretoria,-26.13317,27.98035,454
C0324,Durban,-29.92784,31.10363,241
C0325,Bloemfontein,-28.92328,26.94535,310
C0326,Cape Town,-34.35661,19.0095,873
C0327,Durban,-29.82495,30.78349,349
C0328,Durban,-29.63841,30.98287,369
C0329,Gqeberha,-33.5009,25.17711,470
C0330,Johannesburg,-26.6966,28.47188,729
C0331,Durban,-30.12091,31.10067,472
C0332,East London,-32.88871,28.15944,1238
C0333,Johannesburg,-26.57881,27.73589,420
C0334,Polokwane,-23.98811,28.82623,925
C0335,Durban,-29.10419,30.62579,1145
C0336,Durban,-29.84776,31.05044,623
C0337,Pretoria,-25.54895,28.43916,478
C0338,Durban,-29.94142,31.20958,370
C0339,Pretoria,-25.73021,28.28897,574
C0340,Bloemfontein,-29.01605,26.19534,1131
C0341,Cape Town,-34.15254,18.60949,128
C0342,Johannesburg,-26.18172,27.83397,589
C0343,Johannesburg,-26.02638,28.0662,206
C0344,Durban,-30.08499,30.69303,605
C0345,Cape Town,-33.73586,17.97523,354
C0346,Johannesburg,-26.05808,27.97259,1752
C0347,Johannesburg,-26.40138,27.90347,523
C0348,Johannesburg,-26.45146,27.91144,743
C0349,Durban,-30.3957,31.34115,920
C0350,Durban,-29.05766,30.54339,574
C0351,Pretoria,-25.32517,28.11847,1177
C0352,Johannesburg,-25.93733,27.84552,123
C0353,Johannesburg,-25.90201,27.76855,713
C0354,Johannesburg,-26.59562,28.04194,969
C0355,Johannesburg,-26.89016,28.7685,306
C0356,Pretoria,-25.76193,28.16877,2023
C0357,Pretoria,-26.05409,27.43257,800
C0358,Mbombela,-25.40282,30.45762,1307
C0359,Cape Town,-34.4846,18.28175,628
C0360,Cape Town,-33.60243,18.68383,807
C0361,Cape Town,-34.14907,18.48304,306
C0362,Gqeberha,-33.93886,26.30689,726
C0363,Johannesburg,-26.12116,27.88811,394
C0364,Pretoria,-25.29332,28.64944,433
C0365,Cape Town,-34.08289,18.27148,799
C0366,Gqeberha,-34.20855,25.95082,406
C0367,Cape Town,-34.36331,18.24824,798
C0368,Gqeberha,-34.28477,25.76176,2716
C0369,Johannesburg,-25.69463,28.67705,1080
C0370,Cape Town,-33.7172,18.29637,385
C0371,Polokwane,-24.11267,29.02045,214
C0372,Cape Town,-34.60666,18.34666,555
C0373,Bloemfontein,-29.55439,26.52365,810
C0374,Bloemfontein,-28.99214,26.14561,799
C0375,Gqeberha,-33.53599,25.55319,1185
C0376,Cape Town,-33.66784,18.48746,286
C0377,Kimberley,-28.76123,24.71984,1128
C0378,Johannesburg,-26.00183,28.4807,674
C0379,Cape Town,-33.11976,18.8005,193
C0380,Cape Town,-33.89745,18.68777,852
C0381,Cape Town,-34.14273,18.59143,565
C0382,Johannesburg,-26.21097,27.97414,382
C0383,East London,-32.92407,27.42142,1061
C0384,Johannesburg,-25.69782,28.46612,447
C0385,Cape Town,-34.43235,18.03689,495
C0386,Bloemfontein,-29.37232,26.80854,512
C0387,Bloemfontein,-29.6798,26.71412,1983
C0388,Johannesburg,-26.46692,27.51332,1511
C0389,Gqeberha,-33.89741,25.30968,2805
C0390,Johannesburg,-26.30771,28.58704,2450
C0391,Cape Town,-33.35407,18.75885,443
C0392,East London,-32.72555,27.62523,663
C0393,Johannesburg,-25.81353,27.82006,1231
C0394,Durban,-29.61999,30.62221,586
C0395,Pretoria,-26.04304,28.18196,908
C0396,Cape Town,-34.40281,18.06563,2219
C0397,Cape Town,-34.04726,18.51568,1402
C0398,Pretoria,-25.85438,28.88891,1813
C0399,Johannesburg,-26.69789,27.63624,471
C0400,Durban,-29.5887,31.13491,604
C0401,Johannesburg,-25.84256,27.97907,523
C0402,East London,-32.87468,27.50213,102
C0403,Johannesburg,-26.13211,27.91484,102
C0404,Cape Town,-33.98122,18.21333,902
C0405,Cape Town,-33.78654,18.2234,836
C0406,Johannesburg,-26.16157,28.01225,582
C0407,Johannesburg,-26.07984,27.96991,385
C0408,Gqeberha,-34.28379,26.12464,557
C0409,Johannesburg,-26.38823,28.04239,710
C0410,Durban,-30.25456,31.2797,553
C0411,Johannesburg,-26.11762,28.07787,1050
C0412,Johannesburg,-26.17024,27.50041,471
C0413,Cape Town,-34.31354,18.62257,279
C0414,Mbombela,-24.63012,30.1265,1418
C0415,Johannesburg,-26.35346,27.85766,1003
C0416,Cape Town,-34.08225,18.06856,692
C0417,Bloemfontein,-29.18864,26.25741,851
C0418,Johannesburg,-25.57007,27.67205,100
C0419,Johannesburg,-26.36103,28.7508,2101
C0420,Durban,-30.22073,31.02908,414
C0421,East London,-33.24183,27.89099,442
C0422,Johannesburg,-25.99323,27.87834,357
C0423,Gqeberha,-34.46694,25.63545,526
C0424,Durban,-29.6797,31.33089,632
C0425,Durban,-30.19941,31.01991,1306
C0426,Pretoria,-25.571,28.26894,261
C0427,Pretoria,-25.621,28.70825,1439
C0428,Durban,-29.67084,31.04555,1157
C0429,Johannesburg,-25.8602,28.27703,1143
C0430,Polokwane,-24.05421,29.35173,511
C0431,Johannesburg,-26.09981,28.31362,584
C0432,Cape Town,-34.33202,18.43258,1665
C0433,Mbombela,-25.38253,30.67604,1403
C0434,Johannesburg,-25.70278,27.9818,1262
C0435,Johannesburg,-26.19265,27.95388,2133
C0436,Bloemfontein,-29.00682,26.27213,528
C0437,Johannesburg,-26.10926,28.15377,2154
C0438,Pretoria,-25.62513,28.69029,616
C0439,Durban,-29.89061,30.23778,481
C0440,Johannesburg,-25.85666,28.34152,948
C0441,Johannesburg,-26.40195,27.90355,432
C0442,Gqeberha,-34.67119,26.02821,1788
C0443,Pretoria,-25.78396,28.6581,681
C0444,Johannesburg,-26.15666,27.63464,1439
C0445,Cape Town,-34.06562,18.60759,477
C0446,Cape Town,-33.65276,18.46833,2345
C0447,Pretoria,-25.38786,27.76844,1064
C0448,Cape Town,-33.69129,18.56754,568
C0449,Cape Town,-34.26311,18.47665,219
C0450,Bloemfontein,-29.88215,25.44367,1153
C0451,Mbombela,-25.54094,30.3619,575
C0452,Bloemfontein,-28.93761,26.38369,561
C0453,Gqeberha,-33.64977,25.41784,1021
C0454,Johannesburg,-26.33937,28.17585,2196
C0455,Johannesburg,-26.86392,27.94361,234
C0456,Pretoria,-25.47517,28.56191,2022
C0457,Bloemfontein,-28.82819,25.97683,702
C0458,Kimberley,-28.89169,24.77442,1415
C0459,Johannesburg,-26.08246,28.45453,790
C0460,East London,-32.79062,27.97795,1274
C0461,Durban,-30.49221,30.78102,1733
C0462,Cape Town,-34.0481,18.37599,1235
C0463,Cape Town,-33.49727,19.03645,343
C0464,Durban,-29.5847,30.93568,384
C0465,Durban,-29.71022,31.07197,1739
C0466,Durban,-29.6448,30.80387,754
C0467,Johannesburg,-26.35796,27.27459,576
C0468,Johannesburg,-26.92785,27.52065,1090
C0469,Johannesburg,-26.27583,28.0497,1346
C0470,Cape Town,-34.12704,17.76779,716
C0471,Polokwane,-24.1772,29.40088,373
C0472,Pretoria,-25.65387,28.6059,674
C0473,Durban,-29.99839,30.79329,271
C0474,Durban,-30.509,31.11529,925
C0475,Cape Town,-33.60246,18.23427,730
C0476,Cape Town,-34.14007,18.33011,372
C0477,Durban,-30.16955,30.91439,1788
C0478,Johannesburg,-26.37593,27.9686,435
C0479,Polokwane,-23.47526,29.87388,1428
C0480,Johannesburg,-26.81099,28.29518,774
C0481,Cape Town,-33.79136,18.64691,690
C0482,Johannesburg,-26.46477,28.03567,580
C0483,Pretoria,-24.81056,28.05932,186
C0484,Cape Town,-33.66847,18.76341,878
C0485,Cape Town,-33.28082,18.16318,360
C0486,Gqeberha,-34.34391,26.08956,565
C0487,East London,-33.65206,27.66898,201
C0488,Cape Town,-33.51496,18.78549,1383
C0489,Pretoria,-25.83654,27.80424,355
C0490,Johannesburg,-26.35465,28.50591,1647
C0491,Pretoria,-25.80061,27.97949,1368
C0492,Cape Town,-34.33909,17.99208,452
C0493,Kimberley,-28.06621,24.58817,645
C0494,Johannesburg,-26.60543,28.2385,667
C0495,Pretoria,-26.13225,28.10267,205
C0496,Polokwane,-24.02875,29.71283,535
C0497,Cape Town,-34.46378,17.9039,938
C0498,Johannesburg,-26.91774,28.65368,2836
C0499,Gqeberha,-34.0375,26.0319,333
C0500,Johannesburg,-26.50979,27.98845,489
